,Variable,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
473,7,9,3,8270,Color_Piel
474,7,9,4,47827,Color_Piel
475,7,9,5,73730,Color_Piel
476,7,9,6,57933,Color_Piel
477,7,9,7,193416,Color_Piel
478,7,9,8,128131,Color_Piel
479,7,9,9,13204,Color_Piel
480,7,9,10,3353,Color_Piel
481,7,10,1,25064,Color_Piel
482,7,10,2,14815,Color_Piel
483,7,10,3,19376,Color_Piel
484,7,10,4,23064,Color_Piel
485,7,10,5,82943,Color_Piel
486,7,10,6,54557,Color_Piel
487,7,10,7,61391,Color_Piel
488,7,10,8,71845,Color_Piel
489,7,10,9,30811,Color_Piel
490,7,10,10,43301,Color_Piel
491,8,1,1,762015,Color_Piel
492,8,1,2,479960,Color_Piel
493,8,1,3,677884,Color_Piel
494,8,1,4,375104,Color_Piel
495,8,1,5,592129,Color_Piel
496,8,1,6,120193,Color_Piel
497,8,1,7,82311,Color_Piel
498,8,1,8,49595,Color_Piel
499,8,1,9,7708,Color_Piel
500,8,1,10,18255,Color_Piel
501,8,2,1,82434,Color_Piel
502,8,2,2,224338,Color_Piel
503,8,2,3,408634,Color_Piel
504,8,2,4,685814,Color_Piel
505,8,2,5,770846,Color_Piel
506,8,2,6,295192,Color_Piel
507,8,2,7,71300,Color_Piel
508,8,2,8,57279,Color_Piel
509,8,2,9,18118,Color_Piel
510,8,2,10,7745,Color_Piel
511,8,3,1,52100,Color_Piel
512,8,3,2,95175,Color_Piel
513,8,3,3,300465,Color_Piel
514,8,3,4,455390,Color_Piel
515,8,3,5,1518673,Color_Piel
516,8,3,6,464059,Color_Piel
517,8,3,7,347526,Color_Piel
518,8,3,8,68751,Color_Piel
519,8,3,9,12598,Color_Piel
520,8,3,10,2503,Color_Piel
521,8,4,1,104824,Color_Piel
522,8,4,2,71995,Color_Piel
523,8,4,3,107067,Color_Piel
524,8,4,4,332250,Color_Piel
525,8,4,5,831190,Color_Piel
526,8,4,6,651735,Color_Piel
527,8,4,7,483339,Color_Piel
528,8,4,8,117824,Color_Piel
529,8,4,9,9027,Color_Piel
530,8,4,10,12194,Color_Piel
531,8,5,1,70386,Color_Piel
532,8,5,2,57287,Color_Piel
533,8,5,3,172957,Color_Piel
534,8,5,4,225558,Color_Piel
535,8,5,5,1192520,Color_Piel
